1.000000,-0.000000,0,0.000000
0.000000,1.000000,0,0.000000
0,0,1,0
0,0,0,1
0.974408,0.224786,0,0.008701
-0.224786,0.974408,0,0.001638
0,0,1,0
0,0,0,1
0.886852,0.462054,0,0.011077
-0.462054,0.886852,0,0.003252
0,0,1,0
0,0,0,1
0.768488,0.639865,0,0.014365
-0.639865,0.768488,0,0.006750
0,0,1,0
0,0,0,1
0.587771,0.809027,0,0.011927
-0.809027,0.587771,0,0.008734
0,0,1,0
0,0,0,1
0.404162,0.914687,0,0.009165
-0.914687,0.404162,0,0.010144
0,0,1,0
0,0,0,1
0.103624,0.994617,0,0.001916
-0.994617,0.103624,0,0.010765
0,0,1,0
0,0,0,1
-0.177989,0.984033,0,0.010594
-0.984033,-0.177989,0,0.012665
0,0,1,0
0,0,0,1
-0.412918,0.910768,0,0.010602
-0.910768,-0.412918,0,0.014066
0,0,1,0
0,0,0,1
-0.613105,0.790001,0,0.009422
-0.790001,-0.613105,0,0.011665
0,0,1,0
0,0,0,1
-0.834483,0.551034,0,0.011517
-0.551034,-0.834483,0,0.012416
0,0,1,0
0,0,0,1
-0.938544,0.345159,0,0.013029
-0.345159,-0.938544,0,0.013372
0,0,1,0
0,0,0,1
-0.994181,0.107720,0,0.011582
-0.107720,-0.994181,0,0.016449
0,0,1,0
0,0,0,1
-0.984828,-0.173535,0,0.016237
0.173535,-0.984828,0,0.016917
0,0,1,0
0,0,0,1
-0.923274,-0.384142,0,0.019036
0.384142,-0.923274,0,0.016069
0,0,1,0
0,0,0,1
-0.765466,-0.643477,0,0.009882
0.643477,-0.765466,0,0.018506
0,0,1,0
0,0,0,1
-0.610512,-0.792007,0,0.007571
0.792007,-0.610512,0,0.017631
0,0,1,0
0,0,0,1
-0.341207,-0.939988,0,0.013385
0.939988,-0.341207,0,0.023731
0,0,1,0
0,0,0,1
-0.073601,-0.997288,0,0.015321
0.997288,-0.073601,0,0.021129
0,0,1,0
0,0,0,1
0.279884,-0.960034,0,-0.000803
0.960034,0.279884,0,0.017859
0,0,1,0
0,0,0,1
0.491740,-0.870742,0,0.015733
0.870742,0.491740,0,0.019243
0,0,1,0
0,0,0,1
